booking_id,passenger_id,flight_id,booking_date,status,is_confirmed
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,False
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,True
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,False
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,False
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,False
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,False
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,True
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,True
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,True
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,False
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,False
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,False
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,False
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,True
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,False
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,False
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,False
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,False
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,False
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,False
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,False
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,False
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,False
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,False
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,False
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,False
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,True
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,True
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,False
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,False
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,False
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,True
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,False
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,False
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,False
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,False
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,True
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,False
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,False
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,False
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,True
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,True
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,True
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,True
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,False
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,True
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,True
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,True
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,False
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,False
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,False
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,False
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,False
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,True
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,False
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,False
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,False
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,False
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,False
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,True
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,True
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,False
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,True
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,False
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,False
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,False
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,True
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,True
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,True
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,False
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,False
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,False
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,True
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,True
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,True
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,False
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,False
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,False
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,False
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,False
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,True
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,False
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,True
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,True
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,True
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,True
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,False
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,True
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,False
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,False
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,True
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,False
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,False
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,True
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,False
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,True
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,False
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,True
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,False
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,True
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,False
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,True
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,True
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,False
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,False
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,False
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,True
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,True
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,True
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,False
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,False
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,True
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,False
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,False
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,False
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,True
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,False
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,True
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,False
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,False
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,False
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,False
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,True
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,True
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,True
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,True
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,False
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,False
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,True
B1162,P1027,AI146,2025-04-22 11:37:36.951,UNKNOWN,False
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,False
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,True
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,False
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,True
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,False
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,False
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,True
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,False
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,False
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,True
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,False
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,False
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,False
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,False
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,False
B1178,P1324,6F034,2026-02-05 11:37:36.951,CONFIRMED,True
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,True
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,False
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,False
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,False
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,False
B1184,P1108,6F232,2025-08-01 11:37:36.951,PENDING,False
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,False
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,True
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,False
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,True
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,True
B1190,P1067,6F029,2025-05-23 11:37:36.951,PENDING,False
B1191,P1291,6F018,2025-04-27 11:37:36.951,CONFIRMED,True
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,False
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,False
B1194,P1465,6F091,2025-07-11 11:37:36.951,CONFIRMED,True
B1195,P1433,6F084,2025-07-20 11:37:36.951,CANCELLED,False
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,False
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,True
B1198,P1913,SJ022,2025-06-16 11:37:36.951,UNKNOWN,False
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,False
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,True
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,False
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,False
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,True
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,True
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,True
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,True
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,False
B1208,P1284,SJ052,2025-07-22 11:37:36.951,UNKNOWN,False
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,False
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,False
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,True
B1212,P1784,6F126,2025-07-08 11:37:36.951,PENDING,False
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,True
B1214,P1187,UK194,2025-08-14 11:37:36.951,UNKNOWN,False
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,False
B1216,P1242,6F238,2025-12-09 11:37:36.951,CONFIRMED,True
B1217,P1072,6F092,2026-03-19 11:37:36.951,CANCELLED,False
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,False
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,False
B1220,P1560,6F178,2026-04-04 11:37:36.951,PENDING,False
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,True
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,False
B1223,P1755,6F056,2026-04-09 11:37:36.951,UNKNOWN,False
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,True
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,False
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,True
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,False
B1228,P1864,SJ083,2026-04-17 11:37:36.951,CONFIRMED,True
B1229,P1098,UK073,2026-02-07 11:37:36.951,CONFIRMED,True
B1230,P1953,6F169,2025-04-29 11:37:36.951,PENDING,False
B1231,P1870,UK154,2026-04-06 11:37:36.951,CANCELLED,False
B1232,P1953,SJ169,2025-10-06 11:37:36.951,CONFIRMED,True
B1233,P1494,6F187,2025-05-13 11:37:36.951,CANCELLED,False
B1234,P1946,UK210,2025-11-21 11:37:36.951,CANCELLED,False
B1235,P1979,6F250,2025-12-23 11:37:36.951,PENDING,False
B1236,P1513,AI062,2025-07-05 11:37:36.951,CONFIRMED,True
B1237,P1754,AI047,2025-11-16 11:37:36.951,UNKNOWN,False
B1238,P1296,SJ186,2025-10-20 11:37:36.951,UNKNOWN,False
B1239,P1210,AI217,2025-11-17 11:37:36.951,CANCELLED,False
B1240,P1122,UK100,2025-12-31 11:37:36.951,CONFIRMED,True
B1241,P1228,UK116,2025-12-16 11:37:36.951,CONFIRMED,True
B1242,P1593,6F036,2025-12-01 11:37:36.951,CANCELLED,False
B1243,P1655,AI175,2026-01-22 11:37:36.951,CANCELLED,False
B1244,P1387,UK051,2025-08-18 11:37:36.951,CONFIRMED,True
B1245,P1139,6F201,2026-04-17 11:37:36.951,UNKNOWN,False
B1246,P1540,6F230,2026-04-09 11:37:36.951,CONFIRMED,True
B1247,P1390,SJ138,2025-08-13 11:37:36.951,CANCELLED,False
B1248,P1269,AI246,2026-03-04 11:37:36.951,PENDING,False
B1249,P1758,6F179,2025-06-06 11:37:36.951,CANCELLED,False
B1250,P1011,6F031,2026-01-28 11:37:36.951,CANCELLED,False
B1251,P1866,UK015,2025-08-30 11:37:36.951,PENDING,False
B1252,P1388,UK001,2025-04-21 11:37:36.951,CANCELLED,False
B1253,P1336,6F133,2026-02-27 11:37:36.951,CANCELLED,False
B1254,P1505,6F143,2025-07-22 11:37:36.951,CANCELLED,False
B1255,P1105,UK165,2025-09-22 11:37:36.951,CANCELLED,False
B1256,P1031,6F083,2025-08-10 11:37:36.951,CANCELLED,False
B1257,P1073,AI082,2025-08-19 11:37:36.951,CANCELLED,False
B1258,P1170,AI164,2025-10-28 11:37:36.951,CANCELLED,False
B1259,P1848,SJ155,2026-01-19 11:37:36.951,CANCELLED,False
B1260,P1068,AI189,2026-01-04 11:37:36.951,CANCELLED,False
B1261,P1812,SJ057,2025-12-21 11:37:36.951,CONFIRMED,True
B1262,P1361,SJ198,2025-05-07 11:37:36.951,CONFIRMED,True
B1263,P1648,6F122,2026-01-03 11:37:36.951,CANCELLED,False
B1264,P1432,SJ097,2026-04-15 11:37:36.951,CONFIRMED,True
B1265,P1928,UK203,2025-08-06 11:37:36.951,PENDING,False
B1266,P1995,UK093,2026-01-16 11:37:36.951,CONFIRMED,True
B1267,P1099,AI205,2025-05-21 11:37:36.951,CANCELLED,False
B1268,P1657,AI102,2026-01-16 11:37:36.951,UNKNOWN,False
B1269,P1008,6F046,2025-09-06 11:37:36.951,CONFIRMED,True
B1270,P1573,SJ017,2025-06-02 11:37:36.951,UNKNOWN,False
B1271,P1696,6F156,2025-10-20 11:37:36.951,PENDING,False
B1272,P1028,AI068,2025-07-18 11:37:36.951,PENDING,False
B1273,P1892,AI150,2025-06-05 11:37:36.951,UNKNOWN,False
B1274,P1113,UK008,2025-10-15 11:37:36.951,PENDING,False
B1275,P1461,6F166,2025-07-11 11:37:36.951,PENDING,False
B1276,P1920,6F177,2025-07-15 11:37:36.951,CONFIRMED,True
B1277,P1142,AI196,2026-01-19 11:37:36.951,PENDING,False
B1278,P1389,SJ191,2025-08-09 11:37:36.951,CONFIRMED,True
B1279,P1631,6F019,2025-05-10 11:37:36.951,UNKNOWN,False
B1280,P1681,AI226,2026-04-12 11:37:36.951,CONFIRMED,True
B1281,P1156,SJ207,2026-01-21 11:37:36.951,CANCELLED,False
B1282,P1334,AI009,2025-12-30 11:37:36.951,CANCELLED,False
B1283,P1860,AI103,2025-05-08 11:37:36.951,UNKNOWN,False
B1284,P1259,SJ127,2026-02-22 11:37:36.951,CANCELLED,False
B1285,P1081,UK188,2026-03-26 11:37:36.951,CANCELLED,False
B1286,P1753,6F010,2025-09-25 11:37:36.951,UNKNOWN,False
B1287,P1440,SJ098,2025-12-13 11:37:36.951,CANCELLED,False
B1288,P1944,6F058,2025-12-11 11:37:36.951,PENDING,False
B1289,P1171,SJ030,2026-03-23 11:37:36.951,PENDING,False
B1290,P1230,UK175,2025-07-26 11:37:36.951,CANCELLED,False
B1291,P1719,SJ108,2026-04-01 11:37:36.951,PENDING,False
B1292,P1074,6F075,2025-08-03 11:37:36.951,CONFIRMED,True
B1293,P1269,UK222,2025-08-31 11:37:36.951,CONFIRMED,True
B1294,P1898,6F250,2025-07-13 11:37:36.951,CANCELLED,False
B1295,P1625,AI096,2025-12-29 11:37:36.951,CANCELLED,False
B1296,P1061,AI216,2025-12-23 11:37:36.951,CANCELLED,False
B1297,P1873,6F193,2026-01-23 11:37:36.951,PENDING,False
B1298,P1319,SJ194,2026-01-02 11:37:36.951,PENDING,False
B1299,P1101,SJ020,2025-09-11 11:37:36.951,CONFIRMED,True
B1300,P1428,6F070,2025-06-14 11:37:36.951,PENDING,False
B1301,P1873,AI051,2025-09-03 11:37:36.951,CONFIRMED,True
B1302,P1721,UK219,2025-12-27 11:37:36.951,PENDING,False
B1303,P1953,AI235,2025-12-13 11:37:36.951,CONFIRMED,True
B1304,P1254,6F022,2025-12-13 11:37:36.951,UNKNOWN,False
B1305,P1531,SJ114,2025-09-28 11:37:36.951,PENDING,False
B1306,P1569,SJ076,2025-12-01 11:37:36.951,CONFIRMED,True
B1307,P1111,UK227,2026-01-26 11:37:36.951,PENDING,False
B1308,P1984,UK135,2025-07-22 11:37:36.951,CANCELLED,False
B1309,P1312,AI234,2025-05-06 11:37:36.951,CONFIRMED,True
B1310,P1997,6F113,2025-08-20 11:37:36.951,PENDING,False
B1311,P1460,SJ206,2025-11-16 11:37:36.951,PENDING,False
B1312,P1707,AI015,2026-03-29 11:37:36.951,UNKNOWN,False
B1313,P1886,6F260,2025-05-16 11:37:36.951,CANCELLED,False
B1314,P1461,AI061,2025-04-28 11:37:36.951,CONFIRMED,True
B1315,P1864,6F237,2026-03-26 11:37:36.951,PENDING,False
B1316,P1091,SJ099,2026-01-06 11:37:36.951,PENDING,False
B1317,P1051,SJ146,2026-02-24 11:37:36.951,CANCELLED,False
B1318,P1804,SJ146,2025-05-23 11:37:36.951,CANCELLED,False
B1319,P1519,6F071,2025-05-04 11:37:36.951,CONFIRMED,True
B1320,P1811,6F272,2025-08-13 11:37:36.951,PENDING,False
B1321,P1097,SJ029,2026-02-12 11:37:36.951,PENDING,False
B1322,P1235,UK084,2025-07-27 11:37:36.951,CONFIRMED,True
B1323,P1900,SJ048,2026-02-06 11:37:36.951,CONFIRMED,True
B1324,P1373,AI108,2026-02-04 11:37:36.951,CANCELLED,False
B1325,P1580,SJ134,2025-08-11 11:37:36.951,CANCELLED,False
B1326,P1926,UK146,2025-10-31 11:37:36.951,CONFIRMED,True
B1327,P1556,SJ036,2025-09-24 11:37:36.951,CONFIRMED,True
B1328,P1648,6F202,2025-11-01 11:37:36.951,PENDING,False
B1329,P1233,UK041,2026-02-13 11:37:36.951,CONFIRMED,True
B1330,P1031,6F078,2025-12-06 11:37:36.951,CONFIRMED,True
B1331,P1288,AI097,2025-07-03 11:37:36.951,PENDING,False
B1332,P1637,UK159,2026-01-15 11:37:36.951,CONFIRMED,True
B1333,P1578,UK044,2025-09-06 11:37:36.951,CANCELLED,False
B1334,P1541,6F176,2025-09-27 11:37:36.951,CANCELLED,False
B1335,P1113,SJ221,2026-02-11 11:37:36.951,PENDING,False
B1336,P1203,6F112,2025-07-03 11:37:36.951,CONFIRMED,True
B1337,P1028,6F246,2025-10-20 11:37:36.951,UNKNOWN,False
B1338,P1642,6F014,2026-02-21 11:37:36.951,CANCELLED,False
B1339,P1473,AI237,2025-09-17 11:37:36.951,CANCELLED,False
B1340,P1696,6F003,2025-12-14 11:37:36.951,CANCELLED,False
B1341,P1252,6F249,2025-07-04 11:37:36.951,CONFIRMED,True
B1342,P1797,UK149,2025-04-29 11:37:36.951,CONFIRMED,True
B1343,P1904,SJ163,2026-03-08 11:37:36.951,CONFIRMED,True
B1344,P1921,SJ243,2026-03-28 11:37:36.951,CONFIRMED,True
B1345,P1385,UK113,2025-06-06 11:37:36.951,CANCELLED,False
B1346,P1061,AI071,2025-06-07 11:37:36.951,PENDING,False
B1347,P1514,6F271,2026-02-07 11:37:36.951,PENDING,False
B1348,P1429,SJ015,2025-06-05 11:37:36.951,CANCELLED,False
B1349,P1579,UK047,2025-11-19 11:37:36.951,CANCELLED,False
B1350,P1536,UK020,2026-02-04 11:37:36.951,PENDING,False
B1351,P1690,AI122,2025-09-03 11:37:36.951,PENDING,False
B1352,P1140,UK223,2025-10-20 11:37:36.951,CANCELLED,False
B1353,P1742,6F148,2025-09-19 11:37:36.951,CANCELLED,False
B1354,P1299,SJ162,2025-12-14 11:37:36.951,CONFIRMED,True
B1355,P1674,6F127,2026-03-30 11:37:36.951,CONFIRMED,True
B1356,P1310,AI173,2025-11-10 11:37:36.951,PENDING,False
B1357,P1470,6F065,2026-02-05 11:37:36.951,UNKNOWN,False
B1358,P1392,AI053,2025-06-22 11:37:36.951,PENDING,False
B1359,P1641,AI241,2025-10-22 11:37:36.951,CONFIRMED,True
B1360,P1444,AI105,2025-06-15 11:37:36.951,UNKNOWN,False
B1361,P1757,AI110,2025-08-24 11:37:36.951,PENDING,False
B1362,P1808,AI252,2025-10-22 11:37:36.951,CONFIRMED,True
B1363,P1171,AI149,2025-12-14 11:37:36.951,CANCELLED,False
B1364,P1575,AI224,2025-09-09 11:37:36.951,PENDING,False
B1365,P1030,UK158,2025-07-03 11:37:36.951,CANCELLED,False
B1366,P1046,6F125,2025-05-05 11:37:36.951,CANCELLED,False
B1367,P1129,UK164,2025-12-14 11:37:36.951,CONFIRMED,True
B1368,P1351,UK007,2025-12-26 11:37:36.951,CANCELLED,False
B1369,P1977,6F118,2026-03-18 11:37:36.951,PENDING,False
B1370,P1844,SJ004,2026-01-01 11:37:36.951,CANCELLED,False
B1371,P1621,6F206,2025-09-25 11:37:36.951,CANCELLED,False
B1372,P1580,SJ130,2025-05-11 11:37:36.951,CANCELLED,False
B1373,P1057,SJ070,2026-02-14 11:37:36.951,CANCELLED,False
B1374,P1105,AI085,2025-04-24 11:37:36.951,CANCELLED,False
B1375,P1811,SJ109,2025-09-02 11:37:36.951,CONFIRMED,True
B1376,P1329,AI168,2025-08-24 11:37:36.951,PENDING,False
B1377,P1767,UK123,2025-10-24 11:37:36.951,CONFIRMED,True
B1378,P1823,UK110,2026-01-16 11:37:36.951,PENDING,False
B1379,P1682,AI206,2025-11-02 11:37:36.951,PENDING,False
B1380,P1382,6F007,2026-04-16 11:37:36.951,PENDING,False
B1381,P1984,SJ013,2025-11-11 11:37:36.951,PENDING,False
B1382,P1161,UK061,2025-09-19 11:37:36.951,PENDING,False
B1383,P1996,AI010,2025-09-24 11:37:36.951,CANCELLED,False
B1384,P1285,AI024,2025-05-16 11:37:36.951,CONFIRMED,True
B1385,P1070,UK130,2025-06-08 11:37:36.951,CONFIRMED,True
