booking_id,passenger_id,flight_id,booking_date,status,is_confirmed,airline,source,destination,route,departure_time,arrival_time,duration_minutes,overnight_flight,flight_record_status,flight_match_status,payment_amount,payment_rows,passenger_key,age_band,gender
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,True,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,False,VALID,VALID,11157.56,2,4b6c0c8b02b248b3,55+,F
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,True,Air India,HYD,BOM,HYD-BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,False,VALID,VALID,23388.83,1,6f2e7545bf6891bc,55+,F
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,False,VALID,VALID,17165.03,2,c7d426d2210ced26,0-17,F
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,True,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,False,VALID,VALID,21100.76,3,cef0e879f29d08ed,55+,F
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,False,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,False,VALID,VALID,12755.11,3,493f03c091f1bb5b,18-34,F
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,False,VALID,VALID,0.0,0,4ff00403397e83e7,55+,F
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,False,VALID,VALID,0.0,0,fb80277747aac668,55+,F
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,True,Vistara,BOM,CCU,BOM-CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,False,VALID,VALID,4403.98,2,2a70a1e3d06827e2,35-54,M
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,False,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,False,VALID,VALID,0.0,0,b096a49f02366632,35-54,M
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,False,VALID,VALID,0.0,0,051179b157321a62,0-17,M
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,True,SpiceJet,HYD,DEL,HYD-DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,False,VALID,VALID,19677.93,1,bf52b129e3eaf405,0-17,M
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,False,IndiGo,DEL,MAA,DEL-MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,False,VALID,VALID,0.0,0,39d17754fbe94062,35-54,M
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,True,Air India,BOM,HYD,BOM-HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,False,VALID,VALID,24355.36,2,08cb2d3a1162156f,18-34,M
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,False,VALID,VALID,22648.66,3,7fb7ffdbd85a3ce3,18-34,M
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,False,Air India,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,False,VALID,VALID,20124.44,2,4cdb726a24e12081,18-34,M
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,False,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,False,VALID,VALID,7282.05,2,a500ae03c00baf21,55+,F
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,True,Air India,BOM,CCU,BOM-CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,False,VALID,VALID,13267.86,2,e60442d25bc5f693,55+,M
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,True,Vistara,CCU,BLR,CCU-BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,False,VALID,VALID,3963.68,1,a4f6ec112797c512,0-17,F
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,False,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,False,VALID,VALID,0.0,0,f0316f28ef6214df,35-54,M
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,False,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,VALID,VALID,0.0,0,7f7a4a05ac7584dc,18-34,F
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,False,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,VALID,VALID,0.0,0,f6b417a876311203,0-17,M
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,False,Air India,DEL,HYD,DEL-HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,False,VALID,VALID,0.0,0,7f8a4f8fcffd556d,35-54,F
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,False,VALID,VALID,0.0,0,7eaf1e6c1630f0c8,18-34,F
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,False,Vistara,HYD,MAA,HYD-MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,False,VALID,VALID,0.0,0,afbd94f1848fd410,55+,F
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,True,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,False,VALID,VALID,13330.23,3,f578969533b3f6b3,18-34,M
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,False,UNKNOWN,DEL,BLR,DEL-BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,False,VALID,VALID,7168.37,2,b53cd664d3caa7d3,55+,M
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,False,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.0,False,VALID,VALID,5858.27,1,b65304c929ac9ac9,18-34,M
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,False,Air India,CCU,HYD,CCU-HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,False,VALID,VALID,13465.51,3,9eabf0d062f2e17b,55+,F
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,False,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,False,VALID,VALID,7992.01,3,37b790ac45eacb4d,55+,M
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,True,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,False,VALID,VALID,17735.91,3,d78d33086a6ac709,55+,M
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,True,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,VALID,VALID,12617.34,1,9520ad3d7a70d319,55+,F
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,True,Vistara,HYD,BLR,HYD-BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,False,VALID,VALID,21318.92,3,ce0196be80de68aa,35-54,F
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,False,Vistara,CCU,DEL,CCU-DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,False,VALID,VALID,0.0,0,841d6ff4bf515c14,0-17,F
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,False,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,VALID,VALID,0.0,0,62b0b9ce01d516bf,0-17,M
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,False,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,VALID,VALID,21309.72,3,a5d7ccdbaa33ef6a,35-54,M
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,False,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,False,VALID,VALID,0.0,0,c24146553498b111,35-54,M
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,True,Vistara,HYD,MAA,HYD-MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,False,VALID,VALID,11524.52,1,a1807f6186c536cb,18-34,M
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,False,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,VALID,VALID,9343.22,1,1047b7c4faa338bb,35-54,M
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,False,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,False,VALID,VALID,18014.9,2,fef3551179d3071c,18-34,F
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,False,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,False,VALID,VALID,0.0,0,08cb2d3a1162156f,18-34,M
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,False,Air India,BOM,DEL,BOM-DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,False,VALID,VALID,7397.98,3,256c5e44719e844b,55+,F
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,False,IndiGo,HYD,CCU,HYD-CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,VALID,VALID,0.0,0,932990ec1a779758,55+,F
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,False,Unknown,MAA,BLR,MAA-BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,165.0,False,VALID,VALID,0.0,0,9c8b72e9309f1ca4,35-54,M
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,False,Vistara,MAA,HYD,MAA-HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,194.0,False,VALID,VALID,17626.72,3,b6699f1f75b07aaa,35-54,M
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,False,Air India,BLR,BOM,BLR-BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,129.0,False,VALID,VALID,0.0,0,115f110efe2c6529,0-17,M
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,False,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,VALID,VALID,0.0,0,ab9f8c049da17999,35-54,M
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,False,Vistara,MAA,BLR,MAA-BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,256.0,False,VALID,VALID,0.0,0,3fd6c6a6cc99badc,0-17,M
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,False,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,37.0,False,VALID,VALID,0.0,0,0c2667ac3ad287d5,18-34,M
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,False,UNKNOWN,MAA,DEL,MAA-DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,129.0,False,VALID,VALID,6075.53,1,2e77403b154c0332,55+,M
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,True,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,83.0,False,VALID,VALID,5519.66,3,350e0f62c4ee9419,55+,M
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,True,IndiGo,MAA,HYD,MAA-HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,VALID,VALID,17704.87,2,65a2662c1c42b221,0-17,F
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,False,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,VALID,VALID,0.0,0,eb2dfae377ce8e90,55+,M
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,False,Vistara,CCU,HYD,CCU-HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,241.0,False,VALID,VALID,0.0,0,b17edebc21cc08a6,35-54,F
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,False,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,VALID,VALID,0.0,0,2b4f9a36a08983a0,55+,M
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,True,Vistara,BOM,HYD,BOM-HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,131.0,False,VALID,VALID,16963.8,1,9fca29bf66969aa3,35-54,M
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,False,Vistara,MAA,HYD,MAA-HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,167.0,False,VALID,VALID,0.0,0,8537c2efa30e935d,18-34,M
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,False,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,42.0,False,VALID,VALID,15302.56,1,d97e647363170435,18-34,F
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,False,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,45.0,False,VALID,VALID,9686.9,2,f1e921ffaf861ea3,55+,M
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,False,Unknown,CCU,MAA,CCU-MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,239.0,False,VALID,VALID,3677.99,2,b3b2bddc4a1da019,55+,F
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,True,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,169.0,False,VALID,VALID,12607.78,2,2fa8ad9bc1180c9e,55+,M
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,False,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,291.0,False,VALID,VALID,0.0,0,b6699f1f75b07aaa,35-54,M
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,False,Vistara,BOM,DEL,BOM-DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,132.0,False,VALID,VALID,0.0,0,61d0f276b7160f04,0-17,M
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,False,Vistara,BOM,HYD,BOM-HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,252.0,False,VALID,VALID,0.0,0,383b01dfc4b4451a,35-54,M
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,True,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,VALID,VALID,8146.67,2,9585827735f88792,18-34,F
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,True,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,VALID,VALID,4282.66,1,097d1730f877c5e9,35-54,F
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,True,Vistara,BOM,DEL,BOM-DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,246.0,False,VALID,VALID,9190.45,1,68817845c7bde67e,0-17,M
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,True,Vistara,HYD,DEL,HYD-DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,VALID,VALID,9459.06,3,63ac4a24e48cfe89,0-17,F
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,True,Vistara,HYD,DEL,HYD-DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,163.0,False,VALID,VALID,9459.06,3,63ac4a24e48cfe89,0-17,F
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,False,Vistara,MAA,DEL,MAA-DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,162.0,False,VALID,VALID,17562.16,1,7ff5d504e0d5d5b5,55+,F
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,True,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,VALID,VALID,15254.71,1,b48fae1fbcbcd5a9,35-54,F
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,True,SpiceJet,BLR,MAA,BLR-MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,270.0,False,VALID,VALID,20245.76,3,df5b29f2ff7bba86,55+,F
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,True,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,102.0,False,VALID,VALID,17614.9,1,8debcd3aea9b9245,35-54,M
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,False,SpiceJet,CCU,HYD,CCU-HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,107.0,False,VALID,VALID,0.0,0,d645a3f176a42988,35-54,M
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,False,SpiceJet,BOM,HYD,BOM-HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,210.0,False,VALID,VALID,0.0,0,d7828af53487e3e7,35-54,M
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,False,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,89.0,False,VALID,VALID,0.0,0,2a07d49e429c2a72,18-34,M
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,False,Unknown,HYD,MAA,HYD-MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,48.0,False,VALID,VALID,3499.67,1,d27c1e98bd8f296f,55+,F
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,False,Vistara,DEL,CCU,DEL-CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,30.0,False,VALID,VALID,4981.05,1,f82a60e2bbf27d94,55+,F
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,True,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,148.0,False,VALID,VALID,18891.91,3,66ff10bdebab942a,18-34,M
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,False,Air India,MAA,HYD,MAA-HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,156.0,False,VALID,VALID,0.0,0,88b590eeb1710624,35-54,M
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,False,SpiceJet,BOM,BLR,BOM-BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,109.0,False,VALID,VALID,6547.98,3,faaaa19b96962364,35-54,F
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,VALID,VALID,0.0,0,3a1ef3bd6458cdd8,55+,F
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,VALID,VALID,0.0,0,3a1ef3bd6458cdd8,55+,F
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,224.0,False,VALID,VALID,0.0,0,3a1ef3bd6458cdd8,55+,F
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,False,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,124.0,False,VALID,VALID,6350.87,1,0f1a22c91d0f0def,55+,F
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,False,IndiGo,BOM,HYD,BOM-HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,VALID,VALID,18319.05,3,a58c687e9ba1fd69,0-17,M
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,True,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,110.0,False,VALID,VALID,12815.44,3,d0cc71254d0d0f29,35-54,M
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,True,Vistara,BOM,DEL,BOM-DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,117.0,False,VALID,VALID,11382.47,3,a5a552c1a898df14,55+,M
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,False,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,34.0,False,VALID,VALID,9633.27,3,2d8aa20384aacb9b,35-54,F
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,True,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,VALID,VALID,16866.22,1,e60442d25bc5f693,55+,M
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,False,Vistara,BLR,MAA,BLR-MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,101.0,False,VALID,VALID,10959.88,3,0fc6a280223ac3cf,55+,F
B1097,P1959,6F017,2025-08-26 11:37:36.951,UNKNOWN,False,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,VALID,VALID,0.0,0,ae0406e331f05b6c,35-54,M
B1098,P1491,6F245,2025-10-15 11:37:36.951,UNKNOWN,False,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,VALID,VALID,0.0,0,b0319151afd041ab,0-17,M
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,True,Unknown,MAA,BLR,MAA-BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,215.0,False,VALID,VALID,24161.75,1,a2e1a6df1b20d757,35-54,F
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,True,UNKNOWN,HYD,BOM,HYD-BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,98.0,False,VALID,VALID,22988.78,3,ddabb59a9826ea31,0-17,M
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,True,Air India,MAA,DEL,MAA-DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,264.0,False,VALID,VALID,18393.56,1,c754e805cc58c136,55+,F
B1102,P1448,SJ196,2025-10-06 11:37:36.951,UNKNOWN,False,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,166.0,False,VALID,VALID,0.0,0,8dc928bdd6a7a790,0-17,M
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,False,UNKNOWN,BLR,CCU,BLR-CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,VALID,VALID,0.0,0,7ff5d504e0d5d5b5,55+,F
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,False,UNKNOWN,BLR,CCU,BLR-CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,62.0,False,VALID,VALID,0.0,0,4cdb726a24e12081,18-34,M
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,True,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,157.0,False,VALID,VALID,18771.58,1,4941ef25075264b2,35-54,M
